time_stamp,program_name,J 1,J 2,J 3,J 4,J 5,J 6,Reg [   4],Reg [   8],Reg [  14],Reg [ 107],Reg [  61],Reg [  62],DO [1]
         0,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
         8,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
        16,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
        24,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
        32,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
        40,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
        48,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
        64,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
        72,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
        80,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
        88,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
        96,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       104,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       112,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       120,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       128,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       136,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       144,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       152,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       160,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       168,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       176,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       192,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       200,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       208,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       216,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       224,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       232,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       240,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       248,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       256,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       264,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       272,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       280,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,   -.000,  11,  25,   0, 100,   0,   0,OFF
       288,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,    .000,  11.000,    .000,  11,  25,   0, 100,   0,   0,OFF
       296,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,   0.000,  11.000,    .000,  11,  25,   0, 100,   0,   0,OFF
       304,HOME_CZ_DIRTY_HOME_COOK,  45.000, -55.000, -11.000,   -.000,  11.000,    .000,  11,  25,   0, 100,   0,   0,OFF
       320,HOME_CZ_DIRTY_HOME_COOK,  45.014, -54.994, -10.999,   -.005,  11.007,    .008,  11,  25,   0, 100,   0,   0,OFF
       328,HOME_CZ_DIRTY_HOME_COOK,  45.037, -54.983, -10.997,   -.016,  11.020,    .022,  11,  25,   0, 100,   0,   0,OFF
       336,HOME_CZ_DIRTY_HOME_COOK,  45.080, -54.964, -10.994,   -.034,  11.043,    .047,  11,  25,   0, 100,   0,   0,OFF
       344,HOME_CZ_DIRTY_HOME_COOK,  45.145, -54.934, -10.990,   -.062,  11.079,    .087,  11,  25,   0, 100,   0,   0,OFF
       352,HOME_CZ_DIRTY_HOME_COOK,  45.240, -54.891, -10.983,   -.102,  11.130,    .144,  11,  25,   0, 100,   0,   0,OFF
       360,HOME_CZ_DIRTY_HOME_COOK,  45.368, -54.832, -10.974,   -.157,  11.200,    .221,  11,  25,   0, 100,   0,   0,OFF
       368,HOME_CZ_DIRTY_HOME_COOK,  45.536, -54.756, -10.963,   -.229,  11.292,    .322,  11,  25,   0, 100,   0,   0,OFF
       376,HOME_CZ_DIRTY_HOME_COOK,  45.749, -54.659, -10.948,   -.320,  11.407,    .450,  11,  25,   0, 100,   0,   0,OFF
       384,HOME_CZ_DIRTY_HOME_COOK,  46.011, -54.540, -10.930,   -.432,  11.550,    .608,  11,  25,   0, 100,   0,   0,OFF
       392,HOME_CZ_DIRTY_HOME_COOK,  46.328, -54.396, -10.908,   -.568,  11.723,    .799,  11,  25,   0, 100,   0,   0,OFF
       400,HOME_CZ_DIRTY_HOME_COOK,  46.705, -54.224, -10.881,   -.729,  11.928,   1.026,  11,  25,   0, 100,   0,   0,OFF
       408,HOME_CZ_DIRTY_HOME_COOK,  47.148, -54.023, -10.850,   -.919,  12.169,   1.293,  11,  25,   0, 100,   0,   0,OFF
       416,HOME_CZ_DIRTY_HOME_COOK,  47.662, -53.789, -10.815,  -1.139,  12.449,   1.602,  11,  25,   0, 100,   0,   0,OFF
       424,HOME_CZ_DIRTY_HOME_COOK,  48.251, -53.521, -10.774,  -1.391,  12.770,   1.956,  11,  25,   0, 100,   0,   0,OFF
       432,HOME_CZ_DIRTY_HOME_COOK,  48.922, -53.216, -10.727,  -1.678,  13.135,   2.360,  11,  25,   0, 100,   0,   0,OFF
       448,HOME_CZ_DIRTY_HOME_COOK,  50.528, -52.485, -10.615,  -2.365,  14.009,   3.327,  11,  25,   0, 100,   0,   0,OFF
       456,HOME_CZ_DIRTY_HOME_COOK,  51.474, -52.055, -10.549,  -2.770,  14.524,   3.896,  11,  25,   0, 100,   0,   0,OFF
       464,HOME_CZ_DIRTY_HOME_COOK,  52.522, -51.578, -10.476,  -3.218,  15.094,   4.526,  11,  25,   0, 100,   0,   0,OFF
       472,HOME_CZ_DIRTY_HOME_COOK,  53.678, -51.052, -10.396,  -3.713,  15.723,   5.221,  11,  25,   0, 100,   0,   0,OFF
       480,HOME_CZ_DIRTY_HOME_COOK,  54.943, -50.477, -10.308,  -4.254,  16.411,   5.983,  11,  25,   0, 100,   0,   0,OFF
       488,HOME_CZ_DIRTY_HOME_COOK,  56.315, -49.853, -10.212,  -4.841,  17.158,   6.808,  11,  25,   0, 100,   0,   0,OFF
       496,HOME_CZ_DIRTY_HOME_COOK,  57.787, -49.183, -10.109,  -5.471,  17.959,   7.694,  11,  25,   0, 100,   0,   0,OFF
